CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag
Almacen 384,464.0,2222.0,14.0,158.0,V,V
Almacen 385,162.0,2767.0,116.0,254.0,H,H
Almacen 386,5120.0,5632.0,500.0,228.0,H,H
Almacen 387,1766.0,2222.0,177.0,456.0,V,V
Almacen 388,948.0,1043.0,500.0,162.0,H,H
Almacen 389,1990.0,2189.0,500.0,370.0,H,H
Almacen 390,615.0,677.0,2.0,26.0,H,H
Almacen 391,10.0,2222.0,8.0,11.0,V,V
Almacen 392,546.0,601.0,500.0,150.0,H,H
Almacen 393,3.0,4.0,500.0,3.0,H,H
Almacen 394,764.0,841.0,500.0,120.0,H,H
Almacen 395,452.0,498.0,500.0,222.0,H,H
Almacen 396,3166.0,3483.0,500.0,474.0,H,H
Almacen 397,789.0,2222.0,101.0,232.0,V,V
Almacen 398,69.0,2222.0,176.0,260.0,V,V
Almacen 399,1548.0,2222.0,395.0,362.0,V,V
Almacen 400,7194.0,7914.0,500.0,432.0,H,H
Almacen 401,2.0,0.0,500.0,500.0,M,V
Almacen 402,1.0,0.0,500.0,500.0,M,V
Almacen 403,0.0,1044.0,507.0,500.0,H,M
Almacen 404,2.0,0.0,500.0,500.0,M,V
Almacen 405,0.0,992.0,81.0,157.0,H,M
Almacen 406,1.0,2222.0,178.0,208.0,V,V
Almacen 407,1062.0,1169.0,500.0,83.0,H,H
Almacen 408,340.0,2222.0,288.0,316.0,V,V
Almacen 409,1.0,2222.0,500.0,278.0,V,V
Almacen 410,537.0,2222.0,451.0,372.0,V,V
Almacen 411,4.0,2222.0,238.0,258.0,V,V
Almacen 412,1555.0,1711.0,500.0,126.0,H,H
Almacen 413,914.0,1006.0,500.0,110.0,H,H
Almacen 414,1322.0,1455.0,500.0,188.0,H,H
Almacen 415,1428.0,1571.0,500.0,324.0,H,H
Almacen 416,10.0,2222.0,174.0,183.0,V,V
Almacen 417,9.0,10.0,500.0,6.0,H,H
Almacen 418,3103.0,3414.0,500.0,720.0,H,H
Almacen 419,880.0,2222.0,406.0,370.0,V,V
Almacen 420,551.0,607.0,500.0,143.0,H,H
Almacen 421,0.0,2.0,1.0,500.0,H,M
Almacen 422,0.0,26.0,5.0,500.0,H,M
Almacen 423,-32.0,80.0,3.0,5.0,H,V
Almacen 424,0.0,1445.0,78.0,500.0,H,M
Almacen 425,12034.0,13238.0,500.0,176.0,H,H
Almacen 426,7667.0,2.0,500.0,1.0,H,V
Almacen 427,253.0,279.0,500.0,17.0,H,H
Almacen 428,428.0,0.0,500.0,500.0,M,V
Almacen 429,73.0,81.0,500.0,7.0,H,H
Almacen 430,954.0,0.0,500.0,500.0,M,V
Almacen 431,2.0,0.0,500.0,500.0,M,V
Almacen 432,1178.0,2222.0,500.0,542.0,V,V
Almacen 433,3033.0,4000.0,3324.0,518.0,V,V
Almacen 434,4776.0,6030.0,6076.0,436.0,V,V
Almacen 435,76.0,0.0,500.0,500.0,M,V
Almacen 436,475.0,0.0,500.0,500.0,M,V
Almacen 437,3.0,2.0,500.0,1.0,H,V
Almacen 438,0.0,0.0,500.0,500.0,M,M
Almacen 439,356.0,392.0,500.0,7.0,H,H
Almacen 440,31.0,0.0,500.0,500.0,M,V
Almacen 441,1.0,2.0,500.0,1.0,H,H
Almacen 442,-202.0,436.0,110.0,40.0,H,V
Almacen 443,2.0,22831.0,1.0,252.0,H,V
Almacen 444,277.0,305.0,500.0,9.0,H,H
Almacen 445,24650.0,27116.0,1.0,818.0,H,H
Almacen 446,80.0,88.0,500.0,26.0,H,H
Almacen 447,36.0,40.0,500.0,14.0,H,H
Almacen 448,15.0,17.0,500.0,3.0,H,H
Almacen 449,17980.0,19778.0,2.0,270.0,H,H
Almacen 450,0.0,2000.0,500.0,500.0,V,M
Almacen 451,1.0,2.0,500.0,1.0,H,H
Almacen 452,303.0,334.0,500.0,20.0,H,H
Almacen 453,1674.0,1842.0,500.0,149.0,H,H
Almacen 454,7.0,8.0,500.0,7.0,H,H
Almacen 455,1.0,2.0,500.0,1.0,H,H
Almacen 456,0.0,1201.0,699.0,500.0,H,M
Almacen 457,558.0,2222.0,500.0,500.0,V,V
Almacen 458,0.0,6.0,5.0,500.0,H,M
Almacen 459,2.0,0.0,500.0,500.0,M,V
Almacen 460,0.0,3000.0,500.0,500.0,V,M
Almacen 461,78.0,86.0,500.0,31.0,H,H
Almacen 462,0.0,119.0,69.0,500.0,H,M
Almacen 463,9.0,327.0,21.0,86.0,H,V
Almacen 464,0.0,5.0,4.0,500.0,H,M
Almacen 465,14.0,215.0,144.0,23.0,H,V
Almacen 466,0.0,0.0,500.0,500.0,M,M
Almacen 467,5.0,14.0,12.0,6.0,H,H
Almacen 468,0.0,0.0,500.0,500.0,M,M
Almacen 469,1.0,6.0,500.0,5.0,H,V
Almacen 470,36.0,40.0,500.0,7.0,H,H
Almacen 471,2158.0,6476.0,122.0,63.0,H,V
Almacen 472,12.0,2222.0,8.0,17.0,V,V
Almacen 473,0.0,82.0,64.0,500.0,H,M
Almacen 474,0.0,5000.0,202.0,210.0,V,M
Almacen 475,0.0,10.0,9.0,500.0,H,M
Almacen 476,414.0,649.0,86.0,183.0,H,H
Almacen 477,4.0,2222.0,2.0,4.0,V,V
Almacen 478,74.0,2222.0,100.0,122.0,V,V
Almacen 479,-2.0,1500.0,817.0,836.0,V,V
Almacen 480,-2.0,500.0,115.0,167.0,V,V
Almacen 481,678.0,1421.0,68.0,243.0,H,V
Almacen 482,1.0,0.0,500.0,500.0,M,V
Almacen 483,0.0,0.0,500.0,500.0,M,M
Almacen 484,44.0,49.0,500.0,11.0,H,H
Almacen 485,0.0,0.0,500.0,500.0,M,M
Almacen 486,0.0,0.0,500.0,500.0,M,M
Almacen 487,0.0,0.0,500.0,500.0,M,M
Almacen 488,8.0,0.0,500.0,500.0,M,V
Almacen 489,0.0,504.0,242.0,500.0,H,M
Almacen 490,3.0,4.0,500.0,3.0,H,H
Almacen 491,1.0,0.0,500.0,500.0,M,V
Almacen 492,6.0,7.0,500.0,2.0,H,H
Almacen 493,2.0,0.0,500.0,500.0,M,V
Almacen 494,695.0,2222.0,224.0,229.0,V,V
Almacen 495,283.0,2222.0,500.0,3.0,V,V
Almacen 496,83.0,2222.0,11.0,18.0,V,V
Almacen 497,197.0,2222.0,56.0,98.0,V,V
Almacen 498,245.0,2222.0,500.0,500.0,V,V
Almacen 499,7.0,8.0,500.0,7.0,H,H
Almacen 500,1.0,2.0,500.0,1.0,H,H
Almacen 501,0.0,0.0,500.0,500.0,M,M
